"","wells","tempmean_well","tempvar_well","temptruevar_well"
"SLOC","SLOC",12.4540345703745,43.2058276837968,28.9537481405118
"SLOW","SLOW",14.220599644322,29.6772185413272,17.8107500632931
"VDOS","VDOS",17.289424836304,16.7479049746339,8.38459458059936
"VDOW","VDOW",17.6423826289025,19.3746078789196,11.6836978416377
