site,event_id,Eventdate,temp_mean_2d,temp_var_2d,temp_sd_2d,temp_cv_2d,temp_relvar_2d
SLOC,SLOC_DO1,2023-10-09T04:45:00Z,16.44232196969697,0.06829094386511476,0.26132536016451746,1.5893458396334617,0.002358621879754585
SLOC,SLOC_DO2,2023-10-10T04:00:00Z,16.230663825757574,0.09137846741721112,0.3022887153322319,1.862454417006092,0.003156015137444512
SLOC,SLOC_DO3,2023-10-11T04:15:00Z,16.06846259469697,0.12263948810067894,0.3501992120217847,2.179419530387182,0.004235703353690605
SLOC,SLOC_DO4,2023-11-18T02:15:00Z,12.534912947658402,0.09799601092033018,0.3130431454613408,2.4973699200664905,0.003384570814277932
SLOC,SLOC_DO5,2023-11-21T23:15:00Z,12.295250946969697,0.04980381381070336,0.22316768092782469,1.8150721924291173,0.0017201162892281417
SLOC,SLOC_DO6,2023-12-06T00:15:00Z,9.687191761363636,0.28831112512237145,0.5369461100728559,5.542845886610916,0.009957644299563737
SLOC,SLOC_DO7,2023-12-18T18:00:00Z,10.336596117424243,0.10036410347322881,0.31680294107414597,3.064867171699938,0.003466359622462846
SLOC,SLOC_DO8,2024-01-19T19:30:00Z,6.0385501893939395,0.013358554691669182,0.11557921392564141,1.9140225766218488,4.6137566116968544e-4
SLOC,SLOC_DO9,2024-01-21T01:00:00Z,5.9942865013774105,0.031172960653704975,0.17655866065901432,2.9454491475915177,0.0010766468127864964
SLOC,SLOC_DO10,2024-01-21T14:45:00Z,5.955649035812672,0.019223231999291445,0.13864787051841598,2.328006060879256,6.6392896373905e-4
SLOC,SLOC_DO11,2024-02-10T22:00:00Z,7.686766098484848,0.018789024403062026,0.13707306228089466,1.7832344645938085,6.489323700641234e-4
SLOC,SLOC_DO12,2024-02-21T17:45:00Z,7.283169623059867,0.048563503779789095,0.22037128619624902,3.025760727836307,0.0016772786564320328
SLOC,SLOC_DO13,2024-03-20T16:00:00Z,9.396328627893846,0.3577033067212926,0.598083026611935,6.365071404979088,0.012354300554987478
SLOC,SLOC_DO14,2024-04-14T12:30:00Z,11.887776041666667,0.6900107361751886,0.8306688486847142,6.987588307293299,0.02383148229467854
SLOC,SLOC_DO15,2024-04-15T09:30:00Z,12.211338068181819,0.5141985056818178,0.7170763597287375,5.87221773506681,0.017759307126194012
SLOC,SLOC_DO16,2024-05-23T16:45:00Z,13.426588541666666,0.01689427198605823,0.12997796731007233,0.9680639792208746,5.834917090551027e-4
SLOC,SLOC_DO17,2024-07-17T20:00:00Z,20.239429450757576,0.06008718724286235,0.24512687988644238,1.2111353261357234,0.002075281823660991
SLOC,SLOC_DO18,2024-08-19T16:15:00Z,20.991351799242423,0.06149590903659694,0.2479836870372665,1.181361207267348,0.002123936035436893
SLOW,SLOW_DO1,2023-10-16T20:30:00Z,16.490078125,0.008641351097015498,0.0929588677696512,0.563726060392156,4.8517614734400346e-4
SLOW,SLOW_DO2,2023-11-21T23:30:00Z,12.322639678030303,0.005944447611301618,0.07710024391207604,0.6256796102667512,3.337561635628576e-4
SLOW,SLOW_DO3,2023-12-18T17:45:00Z,9.435973484848486,0.0022408984322040046,0.047338128735766524,0.5016772123382736,1.2581718480359606e-4
SLOW,SLOW_DO4,2024-01-19T19:45:00Z,8.52283712121212,8.93122048663692e-4,0.029885147626600272,0.3506478793572204,5.014511154723152e-5
SLOW,SLOW_DO5,2024-02-21T17:15:00Z,9.128919008264463,0.049252412418683895,0.22192884539573465,2.431052846397489,0.0027653193854081572
