"","wells","fDOMmean_well","fDOMvar_well","fDOMtruevar_well"
"SLOC","SLOC",58.1236338984241,27.0580319952027,247.342034781218
"SLOW","SLOW",51.7307697227676,30.9921335235954,257.040069459031
"VDOS","VDOS",77.4048346703675,19.9233520565597,237.826909972333
"VDOW","VDOW",60.7265675176815,29.8682916569063,328.986619549505
