"","wells","gwmean_well","gwvar_well","gwtruevar_well"
"SLOC","SLOC",0.0112403673397738,885.840445301884,0.00991452744291997
"SLOW","SLOW",-0.445820954073489,-28.653866521237,0.0163187699776447
"VDOS","VDOS",-1.65705808918298,-10.4684434850498,0.0300912127963593
"VDOW","VDOW",-1.5845995024591,-9.98015233896523,0.0250099815553442
