response,n,n_wells,overall_p,delta_AICc,R2_marginal,R2_conditional,n_loo_flip
gross_total_areal_gO2_m2,52,4,0.08067779719638639,-0.6270779283862566,0.09937196294697347,0.2927954339919187,0
ER_total_mag,30,4,0.339430738267563,-5.369478888664247,0.06722722716958286,0.36721445059098445,0
accrual_total_areal_gO2_m2,52,4,0.08085812657421221,-0.6321344888876581,0.09934232732858571,0.29277216307009774,0
ER_rate_mag,30,4,0.4699761695493483,-6.199556872731819,0.0507898330031734,0.35606345454989147,0
accrual_rate_hourly_areal_gO2_m2_hr,52,4,0.007760736664732751,4.525803789359003,0.19114133762797636,0.3648559496810285,0
