Total magnitudes ~ DTW (~1 |siteID/wellID),,,,,,,,,,,Total magnitudes ~ DTW (~1 |wellID),,,,,,,,,
response,predictor,random_structure,n,delta_AICc,coef,p_value,R2_marginal,R2_conditional,n_loo_flagged,,response,predictor,random_structure,n,delta_AICc,coef,p_value,R2_marginal,R2_conditional,n_loo_flagged
ER_total_mag,temp_mean_2d_between,nested,30,-2.81345638,0.012016567749232343,0.8832728284912346,0.11446307559735563,0.1653714681914133,14,,,,,,,,,,,
ER_total_mag,temp_mean_2d_within,nested,30,-2.81345638,-0.078603263,0.061131204446192244,0.11446307559735563,0.1653714681914133,1,,,,,,,,,,,
gross_total_areal_gO2_m2,fDOM_mean_2d_between,nested,52,0.6434506909447464,0.029764795269464173,0.25042116236677214,0.11504435786179396,0.11507830433665729,0,,,,,,,,,,,
gross_total_areal_gO2_m2,fDOM_mean_2d_within,nested,52,0.6434506909447464,-0.008233309,0.36929287719362924,0.11504435786179396,0.11507830433665729,1,,,,,,,,,,,
gross_total_areal_gO2_m2,temp_mean_2d_between,nested,52,-1.276489462,0.084458816,0.3004530081746849,0.081178445,0.081224546,0,,,,,,,,,,,
gross_total_areal_gO2_m2,temp_mean_2d_within,nested,52,-1.276489462,-0.026553744,0.4189922862862159,0.081178445,0.081224546,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,DTW_mean_2d_between,well_only,52,5.625800999999825,-0.571580822,0.096158099,0.260300237,0.27653325556376623,0,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,DTW_mean_2d_within,well_only,52,5.625800999999825,2.338066100456223,0.014306376163692791,0.260300237,0.27653325556376623,0,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,DTW_sd_2d_between,well_only,52,-2.977327981,65.44703367438942,0.4889168279570565,0.057647007657149425,0.1945559284891946,1,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,DTW_sd_2d_within,well_only,52,-2.977327981,10.404342462596242,0.2781040435120078,0.057647007657149425,0.1945559284891946,1,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,fDOM_mean_2d_between,well_only,52,-3.215476247,0.026291430522894687,0.3331142117940592,0.065905081,0.17889854901341418,0,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,fDOM_mean_2d_within,well_only,52,-3.215476247,-0.004414843,0.654508403,0.065905081,0.17889854901341418,5,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,temp_mean_2d_between,well_only,52,0.30598266329062085,0.14193615483316516,0.12156637134620929,0.17667920681401966,0.20146505233441553,0,,,,,,,,,,,
accrual_rate_hourly_areal_gO2_m2_hr,temp_mean_2d_within,well_only,52,0.30598266329062085,0.041441095409738574,0.23212608473039742,0.17667920681401966,0.20146505233441553,1,,,,,,,,,,,
accrual_total_areal_gO2_m2,DTW_mean_2d_between,well_only,52,-1.121887607,-0.323361905,0.18436594274316054,0.07831498,0.078385074,0,,,,,,,,,,,
accrual_total_areal_gO2_m2,DTW_mean_2d_within,well_only,52,-1.121887607,0.5348362269617227,0.5544363730289608,0.07831498,0.078385074,3,,,,,,,,,,,
accrual_total_areal_gO2_m2,fDOM_mean_2d_between,well_only,52,0.8369559550121437,0.029269192,0.13656770024875264,0.11296396407958269,0.11300064190653103,0,,,,,,,,,,,
accrual_total_areal_gO2_m2,fDOM_mean_2d_within,well_only,52,0.8369559550121437,-0.007076673,0.4300572463622214,0.11296396407958269,0.11300064190653103,1,,,,,,,,,,,
accrual_total_areal_gO2_m2,temp_mean_2d_between,well_only,52,-0.938859595,0.082289157,0.1901648915605627,0.081613625,0.08169593,0,,,,,,,,,,,
accrual_total_areal_gO2_m2,temp_mean_2d_within,well_only,52,-0.938859595,-0.026945785,0.4016157949676217,0.081613625,0.08169593,2,,,,,,,,,,,
ER_rate_mag,DTW_mean_2d_between,well_only,30,-5.258590573,-0.00745367,0.971875901,0.010914300510047237,0.010976069,27,,,,,,,,,,,
ER_rate_mag,DTW_mean_2d_within,well_only,30,-5.258590573,0.6033956961848096,0.5767569634235429,0.010914300510047237,0.010976069,2,,,,,,,,,,,
ER_rate_mag,DTW_sd_2d_between,well_only,30,-5.014251515,-27.63580139,0.5795964605702931,0.019210779,0.019263211,4,,,,,,,,,,,
ER_rate_mag,DTW_sd_2d_within,well_only,30,-5.014251515,-2.786074843,0.7280881047901826,0.019210779,0.019263211,4,,,,,,,,,,,
ER_rate_mag,fDOM_mean_2d_between,well_only,30,-4.983129163,0.010327707227904485,0.5265238026469479,0.020256034878786508,0.020300808044391667,3,,,,,,,,,,,
ER_rate_mag,fDOM_mean_2d_within,well_only,30,-4.983129163,0.001633479,0.859109184,0.020256034878786508,0.020300808044391667,12,,,,,,,,,,,
ER_rate_mag,temp_mean_2d_between,well_only,30,-5.569218399,-0.003358248,0.9515755255282445,2.657423316520195e-4,3.291566939043731e-4,24,,,,,,,,,,,
ER_rate_mag,temp_mean_2d_within,well_only,30,-5.569218399,-0.00210371,0.9552030762856137,2.657423316520195e-4,3.291566939043731e-4,21,,,,,,,,,,,
