"site","event_id","category","accrual_rate_hourly_mgL_hr","accrual_duration_hr","accrual_total_mgL","ER_rate_hourly_mgL_hr","ER_duration_hr","ER_total_mgL","gross_total_mgL","accrual_rate_hourly_areal_gO2_m2_hr","accrual_total_areal_gO2_m2","ER_rate_hourly_areal_gO2_m2_hr","ER_total_areal_gO2_m2","gross_total_areal_gO2_m2","ER_rate_hourly_mgL_hr_as_CO2_mid","ER_rate_hourly_mgL_hr_as_CO2_low","ER_rate_hourly_mgL_hr_as_CO2_high","ER_rate_hourly_mgL_hr_as_C_mid","ER_rate_hourly_mgL_hr_as_C_low","ER_rate_hourly_mgL_hr_as_C_high","ER_total_mgL_as_CO2_mid","ER_total_mgL_as_CO2_low","ER_total_mgL_as_CO2_high","ER_total_mgL_as_C_mid","ER_total_mgL_as_C_low","ER_total_mgL_as_C_high","ER_rate_hourly_areal_gO2_m2_hr_as_CO2_mid","ER_rate_hourly_areal_gO2_m2_hr_as_CO2_low","ER_rate_hourly_areal_gO2_m2_hr_as_CO2_high","ER_rate_hourly_areal_gO2_m2_hr_as_C_mid","ER_rate_hourly_areal_gO2_m2_hr_as_C_low","ER_rate_hourly_areal_gO2_m2_hr_as_C_high","ER_total_areal_gO2_m2_as_CO2_mid","ER_total_areal_gO2_m2_as_CO2_low","ER_total_areal_gO2_m2_as_CO2_high","ER_total_areal_gO2_m2_as_C_mid","ER_total_areal_gO2_m2_as_C_low","ER_total_areal_gO2_m2_as_C_high"
"SLOC",12,"metabolism",0.98,0.5,0.49,-0.32,1.5,-0.48,0.97,0.98,0.49,-0.32,-0.48,0.97,0.528,0.22,1.76,0.144,0.06,0.48,0.792,0.33,2.64,0.216,0.09,0.72,0.528,0.22,1.76,0.144,0.06,0.48,0.792,0.33,2.64,0.216,0.09,0.72
"SLOC",13,"metabolism",1.48363636363636,0.75,1.11272727272727,-0.2524064171123,4.25,-1.07272727272727,2.18545454545455,1.48363636363636,1.11272727272727,-0.2524064171123,-1.07272727272727,2.18545454545455,0.416470588235294,0.173529411764706,1.38823529411765,0.113582887700535,0.0473262032085562,0.378609625668449,1.77,0.7375,5.9,0.482727272727273,0.201136363636364,1.60909090909091,0.416470588235294,0.173529411764706,1.38823529411765,0.113582887700535,0.0473262032085562,0.378609625668449,1.77,0.7375,5.9,0.482727272727273,0.201136363636364,1.60909090909091
"SLOC",14,"metabolism",0.28040404040404,2.25,0.630909090909091,-0.194685314685315,3.25,-0.632727272727273,1.26363636363636,0.28040404040404,0.630909090909091,-0.194685314685315,-0.632727272727273,1.26363636363636,0.321230769230769,0.133846153846154,1.07076923076923,0.0876083916083916,0.0365034965034965,0.292027972027972,1.044,0.435,3.48,0.284727272727273,0.118636363636364,0.949090909090909,0.321230769230769,0.133846153846154,1.07076923076923,0.0876083916083916,0.0365034965034965,0.292027972027972,1.044,0.435,3.48,0.284727272727273,0.118636363636364,0.949090909090909
"SLOC",15,"metabolism",0.781818181818182,1.5,1.17272727272727,-0.175218855218855,6.75,-1.18272727272727,2.35545454545455,0.781818181818182,1.17272727272727,-0.175218855218855,-1.18272727272727,2.35545454545455,0.289111111111111,0.120462962962963,0.963703703703704,0.0788484848484848,0.0328535353535353,0.262828282828283,1.9515,0.813125,6.505,0.532227272727273,0.221761363636364,1.77409090909091,0.289111111111111,0.120462962962963,0.963703703703704,0.0788484848484848,0.0328535353535353,0.262828282828283,1.9515,0.813125,6.505,0.532227272727273,0.221761363636364,1.77409090909091
"SLOC",16,"metabolism",2.58909090909091,0.25,0.647272727272727,-0.364155844155844,1.75,-0.637272727272727,1.28454545454545,2.58909090909091,0.647272727272727,-0.364155844155844,-0.637272727272727,1.28454545454545,0.600857142857143,0.250357142857143,2.00285714285714,0.16387012987013,0.0682792207792208,0.546233766233766,1.0515,0.438125,3.505,0.286772727272727,0.119488636363636,0.955909090909091,0.600857142857143,0.250357142857143,2.00285714285714,0.16387012987013,0.0682792207792208,0.546233766233766,1.0515,0.438125,3.505,0.286772727272727,0.119488636363636,0.955909090909091
"SLOC",17,"metabolism",1.72,0.25,0.43,-0.21,2,-0.42,0.85,1.72,0.43,-0.21,-0.42,0.85,0.3465,0.144375,1.155,0.0945,0.039375,0.315,0.693,0.28875,2.31,0.189,0.07875,0.63,0.3465,0.144375,1.155,0.0945,0.039375,0.315,0.693,0.28875,2.31,0.189,0.07875,0.63
"SLOC",18,"other",0.992727272727273,0.25,0.248181818181818,-0.202181818181818,1.25,-0.252727272727273,0.500909090909091,0.992727272727273,0.248181818181818,-0.202181818181818,-0.252727272727273,0.500909090909091,0.3336,0.139,1.112,0.0909818181818182,0.0379090909090909,0.303272727272727,0.417,0.17375,1.39,0.113727272727273,0.0473863636363637,0.379090909090909,0.3336,0.139,1.112,0.0909818181818182,0.0379090909090909,0.303272727272727,0.417,0.17375,1.39,0.113727272727273,0.0473863636363637,0.379090909090909
"SLOW",1,"metabolism",0.596363636363636,0.25,0.149090909090909,-0.278181818181818,0.5,-0.139090909090909,0.288181818181818,0.596363636363636,0.149090909090909,-0.278181818181818,-0.139090909090909,0.288181818181818,0.459,0.19125,1.53,0.125181818181818,0.0521590909090909,0.417272727272727,0.2295,0.095625,0.765,0.0625909090909091,0.0260795454545454,0.208636363636364,0.459,0.19125,1.53,0.125181818181818,0.0521590909090909,0.417272727272727,0.2295,0.095625,0.765,0.0625909090909091,0.0260795454545454,0.208636363636364
"SLOW",2,"metabolism",2.22909090909091,0.25,0.557272727272727,-0.716363636363636,0.75,-0.537272727272727,1.09454545454545,2.22909090909091,0.557272727272727,-0.716363636363636,-0.537272727272727,1.09454545454545,1.182,0.4925,3.94,0.322363636363636,0.134318181818182,1.07454545454545,0.8865,0.369375,2.955,0.241772727272727,0.100738636363636,0.805909090909091,1.182,0.4925,3.94,0.322363636363636,0.134318181818182,1.07454545454545,0.8865,0.369375,2.955,0.241772727272727,0.100738636363636,0.805909090909091
"SLOW",3,"metabolism",1.10909090909091,0.25,0.277272727272727,-0.277272727272727,1,-0.277272727272727,0.554545454545455,1.10909090909091,0.277272727272727,-0.277272727272727,-0.277272727272727,0.554545454545455,0.4575,0.190625,1.525,0.124772727272727,0.0519886363636364,0.415909090909091,0.4575,0.190625,1.525,0.124772727272727,0.0519886363636364,0.415909090909091,0.4575,0.190625,1.525,0.124772727272727,0.0519886363636364,0.415909090909091,0.4575,0.190625,1.525,0.124772727272727,0.0519886363636364,0.415909090909091
"SLOW",4,"metabolism",0.26,0.5,0.13,-0.12,1,-0.12,0.25,0.26,0.13,-0.12,-0.12,0.25,0.198,0.0825,0.66,0.054,0.0225,0.18,0.198,0.0825,0.66,0.054,0.0225,0.18,0.198,0.0825,0.66,0.054,0.0225,0.18,0.198,0.0825,0.66,0.054,0.0225,0.18
"SLOW",5,"metabolism",1.28909090909091,0.5,0.644545454545455,-0.507636363636364,1.25,-0.634545454545455,1.27909090909091,1.28909090909091,0.644545454545455,-0.507636363636364,-0.634545454545455,1.27909090909091,0.8376,0.349,2.792,0.228436363636364,0.0951818181818182,0.761454545454546,1.047,0.43625,3.49,0.285545454545455,0.118977272727273,0.951818181818182,0.8376,0.349,2.792,0.228436363636364,0.0951818181818182,0.761454545454546,1.047,0.43625,3.49,0.285545454545455,0.118977272727273,0.951818181818182
"SLOW",6,"other",2.36545454545455,0.5,1.18272727272727,-0.938181818181818,1.25,-1.17272727272727,2.35545454545455,2.36545454545455,1.18272727272727,-0.938181818181818,-1.17272727272727,2.35545454545455,1.548,0.645,5.16,0.422181818181818,0.175909090909091,1.40727272727273,1.935,0.80625,6.45,0.527727272727273,0.219886363636364,1.75909090909091,1.548,0.645,5.16,0.422181818181818,0.175909090909091,1.40727272727273,1.935,0.80625,6.45,0.527727272727273,0.219886363636364,1.75909090909091
"SLOW",7,"other",1.11709090909091,1.25,1.39636363636364,-0.820779220779221,1.75,-1.43636363636364,2.83272727272727,1.11709090909091,1.39636363636364,-0.820779220779221,-1.43636363636364,2.83272727272727,1.35428571428571,0.564285714285714,4.51428571428571,0.369350649350649,0.153896103896104,1.23116883116883,2.37,0.9875,7.9,0.646363636363636,0.269318181818182,2.15454545454546,1.35428571428571,0.564285714285714,4.51428571428571,0.369350649350649,0.153896103896104,1.23116883116883,2.37,0.9875,7.9,0.646363636363636,0.269318181818182,2.15454545454546
"SLOW",8,"metabolism",1.09818181818182,0.25,0.274545454545455,-0.529090909090909,0.5,-0.264545454545455,0.539090909090909,1.09818181818182,0.274545454545455,-0.529090909090909,-0.264545454545455,0.539090909090909,0.873,0.36375,2.91,0.238090909090909,0.0992045454545454,0.793636363636364,0.4365,0.181875,1.455,0.119045454545455,0.0496022727272727,0.396818181818182,0.873,0.36375,2.91,0.238090909090909,0.0992045454545454,0.793636363636364,0.4365,0.181875,1.455,0.119045454545455,0.0496022727272727,0.396818181818182
"SLOW",9,"metabolism",13.16,0.25,3.29,-0.422068965517241,7.25,-3.06,6.35,13.16,3.29,-0.422068965517241,-3.06,6.35,0.696413793103448,0.290172413793103,2.32137931034483,0.189931034482759,0.0791379310344828,0.633103448275862,5.049,2.10375,16.83,1.377,0.57375,4.59,0.696413793103448,0.290172413793103,2.32137931034483,0.189931034482759,0.0791379310344828,0.633103448275862,5.049,2.10375,16.83,1.377,0.57375,4.59
"VDOW",1,"other",0.253333333333333,0.75,0.19,-0.24,0.75,-0.18,0.37,0.253333333333333,0.19,-0.24,-0.18,0.37,0.396,0.165,1.32,0.108,0.045,0.36,0.297,0.12375,0.99,0.081,0.03375,0.27,0.396,0.165,1.32,0.108,0.045,0.36,0.297,0.12375,0.99,0.081,0.03375,0.27
"VDOW",2,"metabolism",1.40545454545455,0.5,0.702727272727273,-0.92,0.75,-0.69,1.39272727272727,1.40545454545455,0.702727272727273,-0.92,-0.69,1.39272727272727,1.518,0.6325,5.06,0.414,0.1725,1.38,1.1385,0.474375,3.795,0.3105,0.129375,1.035,1.518,0.6325,5.06,0.414,0.1725,1.38,1.1385,0.474375,3.795,0.3105,0.129375,1.035
"VDOW",3,"metabolism",3.27636363636364,0.25,0.819090909090909,-0.207757575757576,3.75,-0.779090909090909,1.59818181818182,3.27636363636364,0.819090909090909,-0.207757575757576,-0.779090909090909,1.59818181818182,0.3428,0.142833333333333,1.14266666666667,0.0934909090909091,0.0389545454545455,0.311636363636364,1.2855,0.535625,4.285,0.350590909090909,0.146079545454545,1.16863636363636,0.3428,0.142833333333333,1.14266666666667,0.0934909090909091,0.0389545454545455,0.311636363636364,1.2855,0.535625,4.285,0.350590909090909,0.146079545454545,1.16863636363636
"VDOW",4,"metabolism",1.18,0.5,0.59,-0.14987012987013,3.5,-0.524545454545454,1.11454545454545,1.18,0.59,-0.14987012987013,-0.524545454545454,1.11454545454545,0.247285714285714,0.103035714285714,0.824285714285714,0.0674415584415584,0.0281006493506493,0.224805194805195,0.8655,0.360625,2.885,0.236045454545454,0.0983522727272727,0.786818181818182,0.247285714285714,0.103035714285714,0.824285714285714,0.0674415584415584,0.0281006493506493,0.224805194805195,0.8655,0.360625,2.885,0.236045454545454,0.0983522727272727,0.786818181818182
"VDOW",5,"metabolism",1.37636363636364,0.5,0.688181818181818,-0.203636363636364,3.25,-0.661818181818182,1.35,1.37636363636364,0.688181818181818,-0.203636363636364,-0.661818181818182,1.35,0.336,0.14,1.12,0.0916363636363637,0.0381818181818182,0.305454545454546,1.092,0.455,3.64,0.297818181818182,0.124090909090909,0.992727272727273,0.336,0.14,1.12,0.0916363636363637,0.0381818181818182,0.305454545454546,1.092,0.455,3.64,0.297818181818182,0.124090909090909,0.992727272727273
"VDOW",6,"metabolism",1.65090909090909,0.25,0.412727272727273,-0.183434343434343,2.25,-0.412727272727273,0.825454545454545,1.65090909090909,0.412727272727273,-0.183434343434343,-0.412727272727273,0.825454545454545,0.302666666666667,0.126111111111111,1.00888888888889,0.0825454545454546,0.0343939393939394,0.275151515151515,0.681,0.28375,2.27,0.185727272727273,0.0773863636363636,0.619090909090909,0.302666666666667,0.126111111111111,1.00888888888889,0.0825454545454546,0.0343939393939394,0.275151515151515,0.681,0.28375,2.27,0.185727272727273,0.0773863636363636,0.619090909090909
"VDOW",7,"metabolism",1,0.25,0.25,-0.138181818181818,1.5,-0.207272727272727,0.457272727272727,1,0.25,-0.138181818181818,-0.207272727272727,0.457272727272727,0.228,0.095,0.76,0.0621818181818182,0.0259090909090909,0.207272727272727,0.342,0.1425,1.14,0.0932727272727273,0.0388636363636364,0.310909090909091,0.228,0.095,0.76,0.0621818181818182,0.0259090909090909,0.207272727272727,0.342,0.1425,1.14,0.0932727272727273,0.0388636363636364,0.310909090909091
"VDOW",8,"metabolism",1.3030303030303,0.75,0.977272727272727,-0.412121212121212,2.25,-0.927272727272727,1.90454545454545,1.3030303030303,0.977272727272727,-0.412121212121212,-0.927272727272727,1.90454545454545,0.68,0.283333333333333,2.26666666666667,0.185454545454545,0.0772727272727273,0.618181818181818,1.53,0.6375,5.1,0.417272727272727,0.173863636363636,1.39090909090909,0.68,0.283333333333333,2.26666666666667,0.185454545454545,0.0772727272727273,0.618181818181818,1.53,0.6375,5.1,0.417272727272727,0.173863636363636,1.39090909090909
"VDOW",9,"metabolism",1.16636363636364,1,1.16636363636364,-0.458545454545455,2.5,-1.14636363636364,2.31272727272727,1.16636363636364,1.16636363636364,-0.458545454545455,-1.14636363636364,2.31272727272727,0.7566,0.31525,2.522,0.206345454545455,0.0859772727272727,0.687818181818182,1.8915,0.788125,6.305,0.515863636363636,0.214943181818182,1.71954545454545,0.7566,0.31525,2.522,0.206345454545455,0.0859772727272727,0.687818181818182,1.8915,0.788125,6.305,0.515863636363636,0.214943181818182,1.71954545454545
