"site","n_events","total_C_respired_gC_m2_mid","total_C_respired_gC_m2_low","total_C_respired_gC_m2_high","mean_C_rate_gC_m2_hr_mid","mean_C_rate_gC_m2_hr_low","mean_C_rate_gC_m2_hr_high"
"SLOC",18,8.01859090909091,3.34107954545454,26.7286363636364,0.13446178876972,0.0560257453207166,0.448205962565733
"SLOW",9,3.43881818181818,1.43284090909091,11.4627272727273,0.230478772951187,0.0960328220629945,0.768262576503956
"VDOS",10,7.02,2.925,23.4,0.238750368250171,0.0994793201042379,0.795834560833903
"VDOW",15,5.15636306059163,2.14848460857985,17.1878768686388,0.12574376559262,0.0523932356635916,0.419145885308733
